page,step,lead,result,figures,lead_translation,result_translation,,
48,2(1),"Відстань між отворами на першій випарний площадці не коротша (або ледве коротша), ніж на другій. Хоботок більш наближений до верлини голови, ніж до її основи (рис. 5, 1).",,5,"The distance between the ostioles on the first ESES is not shorter (or barely shorter) than on the second. The proboscis is closer to the top than to the base of the head (Fig. 5, 1).",,"The distance between the holes on the first evaporation platform is not shorter (or barely shorter) than on the second. The proboscis is closer to the head of the head than to its base (Fig. 5, 1).",
48,3(6),"Відстань між отворами на першій випарній площадці значно більша, ніж на другій, і якщо перша площадка парна, то черевце зовсім непунктироване.",,,"The distance between the ostioles on the first ESES is much larger than on the second, and if the first ESES is split, the abdomen is completely unpunctuated.",,"The distance between the holes on the first evaporation platform is much larger than the second, and if the first platform is paired, then the abdomen is completely non -pecunted.",
49,4(5),"Перша випарна площадка парна і має вигляд двох овалів з щілиновидним отвором черевної залози (рис. 23, 3). Черевце зовсім непунктироване. Наличник розширений до вершини (рис. 30, 1). Живуть на деревах і чагарниках.",Родина деревні щитники -- Acanthosomidae,23; 30,"The first ESES is split in two and looks like two ovals with a slit-shaped hole of the abdominal gland (Fig. 23, 3). The abdomen is completely unpunctuated. The tylus extends to the top (Fig. 30, 1). Living on trees and shrubs.", -- Acanthosomidae,"The first evaporation platform is paired and looks like two ovals with a slit -shaped hole of the abdominal gland (Fig. 23, 3). The abdomen is completely non -penetrated. The trim is extended to the top (Fig. 30, 1). They live on trees and shrubs.",Family Tree Skeletons - Acanthosomidae
49,5(4),"Перша випарна площадка непарна, має вигляд стегнової кістки (рис. 23, 4), і якщо її темне забарвлення змите (IV--V стадії), то і тоді контур площадки чітко намічений точками пунктирування. Черевце пунктироване чорними точками. Наличник допереду не розширений, часто звужений. Живуть на трав'янистих рослинах.",Родина щитники-черепашки -- Scutelleridae,23,"The first ESES is continuous, shaped like a femur (Fig. 23, 4), and even if its dark color washed away (IV–V), then the contour is clearly outlined by the punctuation. The abdomen has black punctuation. The tylus is not extended, often narrowed. Living on herbaceous plants.",Jewel bugs -- Scutelleridae,"The first evaporation platform is odd, looks like a femur (Fig. 23, 4), and if its dark color is washed away (stage IV-V), then even the contour of the platform is clearly outlined by points of puncture. The abdomen is punctured with black dots. The trim is not advanced in advance, often narrowed. They live on herbaceous plants.",Family Witches-Scutelleridae
49,6(3),"Відстань між крайовими отворами на першій випарній площадці така (рис. 23, 7) або майже така (рис. 23, 6), як і на другій, а якщозначно більша, то перша площадка парна (рис. 23,5) і черевце густо пунктироване бурими точками (крім видів роду Bagrada).",,23; 23; 23,"The distance between the ostioles on the first ESES is as long (Fig. 23, 7) or almost as long (Fig. 23, 6) as on the second, and if significantly longer, then the first ESES is split in two (Fig. 23, 5).",,"The distance between the edge holes on the first evaporation platform is as follows (Fig. 23: 7) or almost as (Fig. 23, 6), as in the second, and if significantly larger, then the first platform is paired (Fig. 23.5) and the abdomen densely Punished with brown dots (except species of the genus Bagrada).",
49,7(8),"Голінки без шипів, або іноді шипи тонкі чи дуже короткі (Vilpianus). Контур парасегментних плям і випарних площадок у старших стадій часто розмитий, а якщо вони чітко намічені, то хоботок дуже товстий (Asopinae), або перша випарна площадка серповидна, із зближеними отворами (Eurydema). Черевце часто в чорному пунктируванні.",Родина справжні щитники -- Pentatomidae,,"Tibiae without spines, sometimes with thin or very short spines (Vilpianus). The contour of parasegmental spots and ESESs in the older stages is often blurry, and if they are clearly defined, the proboscis is very thick (Asopinae) or the first ESES is sickle-shaped with ostioles placed close together (Eurydema). Abdomen often with black punctuation.", -- Pentatomidae,"Golins without thorns, or sometimes thorns are thin or very short (vilpianus). The contour of parasegmental spots and evaporation platforms in the older stages is often blurred, and if they are clearly planned, the proboscis is very thick (Asopinae), or the first evaporation platform is sickle, with a convergence (Eurydema). The abdomen is often in black puncture.",Family True Skeletons - Pentatomidae
49,8(7),"Голінки вкриті довгими товстими шипами. Парасегментні плями і випарні площадки звичайно чітко намічені в усіх стадіях (рис. 23, 2). Черевце зовсім непунктироване (крім Thyreocoris).",Родина земляні щитники -- Cydnidae,23,"Tibiae covered with long, thick spines. Parasegmental spots and ESESs are usually clearly defined in all stages (Fig. 23, 2). Abdomen completely unpuctuated (except in Thyreocoris).",Burrowing bugs -- Cydnidae,"The labels are covered with long thick thorns. Parasegic spots and evaporation platforms are usually clearly planned in all stages (Figs. 23, 2). The abdomen is completely non -penetrated (except thyreocoris).",Family Earth Shields - Cydnidae
,,Таблиця для визначення родів родини деревних щитників,,,Table for determining the genera of the family Acanthosomidae,,Table to determine the genera,
55,1(2),"Груди зверху густо і рівномірно вкриті великими чорними точками. Парасегментні плями на краях черевця великі, суцільні або у вігляді півкілець (коли їх темне забарвлення розмите посередині), а смужки по краях сегментів (вигляд збоку) непарні, однакові завширшки по всій своїй довжині (рис. 29, 1). Край вилиць облямований гострим, дуже низеньким ребертсем.",Рід акантозома -- Acanthosoma,29,"Thorax densely and evenly covered with large, black punctuation. Parasegmental spots on the edges of the abdomen are large, solid or shaped like a semicircle (when the dark color in the middle is blurred), and the stripes at the edges of the segments (in side view) are continuous, the same width along their entire length (Fig. 29, 1). The edge of the juga is bordered by sharp, very low ridges.", -- Acanthosoma,"The chest is thick and evenly covered with large black dots. Parasegic spots on the edges of the abdomen are large, solid or in the vision of the semicircle (when their dark color is blurred in the middle), and the strips at the edges of the segments (side view) are odd, the same width over its length (Fig. 29, 1). The edge of the cheeks is fringed with a sharp, very low reberts.",Akantozoma genus - Acanthosoma
56,2(1),"Груди непунктировані або лише з небагатьмз неправильно розкиданими чорними точками. Парасегментні плями на краях черевця мають вигляд поздовжньої смужки, штриха або клина, ззаду ширшого, ніж спереду (рис. 29, 2) або їх три (рис. 29, 3) (вигляд збоку). Зовнішній край вилиці облямований округлим, досить високим реберцем.",,29; 29,"Thorax unpunctated or with only a few irregularly scattered black dots. Parasegmental spots on the edges of the abdomen look like one longitudinal stripe, stroke or wedge, behind wider than in front (Fig. 29, 2) or three such lines (Fig. 29, 3) (side view). The outer edge of the juga is bordered by a rounded, rather high ridge.",,"Breasts are non -pecunted or only with a few incorrectly scattered black dots. Parasegic spots on the edges of the abdomen look like a longitudinal strip, a stroke or wedge, behind a wider than in front (Fig. 29, 2) or three of them (Figs. 29, 3) (side view). The outer edge of the cheeks is fringed with a rounded, fairly high rib.",
56,3(6),"На зовнішніх краях кожного сегмента черевця є лише одна чорна рисочка (рис. 29, 2).",,29,"On the outer edges of each segment of the abdomen there is only one black line (Fig. 29, 2).",,"On the outer edges of each segment of the abdomen there is only one black dash (Figs. 29, 2).",
56,4(5),При основі VII тергіта нема поперечної темної плями. Більші.,Рід елазмостетус -- Elasmostethus,,There is no transverse dark spot at the base of tergite VII. Bigger., -- Elasmostethus,There is no transverse dark spot at the base of VII. Larger.,Genus Elastetus - Elasmostethus
56,5(4),При основі VII тергіта розміщена різко окреслена поперечна чорна або темнокоричнева пляма. Менші.,Рід елазмуха -- Elasmucha,,At the base of tergite VII there is a sharply delineated transverse black or dark brown spot. Smaller., -- Elasmucha,At the base of VII Tergite is a sharply outlined black or dark brown spot. Smaller.,Elasmucha
56,6(3),"По краях кожного сегмента черевця розміщено по три чорні зближені поздовжні рисочки, однакові завширшки по всій довжині (рис. 29, 3).",Рід цифостетус -- Cyphostethus,29,"On the edges of each segment of the abdomen there are three converging continuous black lines, the same width along the entire length (Fig. 29, 3).", -- Cyphostethus,"On the edges of each segment of the abdomen are placed on three black closed longitudinal lines, the same width over the entire length (Figs. 29, 3).",Cyphotetus - Cyphosteathus
,,Таблиця для визначення видів роду елазмуха,,,Table for determining the species of the genus Elasmucha,,Table to determine the species of the genus Elasmukh,
60,1(2),"Тіло широкоовальне, без поздовжніх темних смуг на голові та грудях і без світлої смужки на черевці. Вусики тонші і довші; волоски на них піднесені, майже однакової товщини, а довжина їх не більша за товщину члеників вусиків (IV–V).",Е. чорнична -- E. ferrugata,,"The body is broadly oval, without longitudinal dark stripes on the head and thorax and without a light stripe on the abdomen. Antennae are thinner and longer; the hairs on them are elevated, of almost the same thickness, and their length is not greater than the thickness of the segments of the antennae (IV–V).",Bilberry shieldbug -- Elasmucha ferrugata,"The body is wide oval, without longitudinal dark stripes on the head and chest and without a light strip on the abdomen. Tendrils are thinner and longer; The hairs on them are elevated, almost the same thickness, and their length is not larger than the thickness of the joints of the antennae (IV - V).",E. Chernychna - E. Ferrugata
60,2(1),"Тіло видовженоовальне, з поздовжніми темними смугами на голові і грудях, особливо різко помітними на диску передньоспинки, із світлою смужкою вздовж середини черевця. Вусики товщі і коротші, з стирчачими волосками різної довжини; довжина багатьох волосків більша за товщину члеників вусиків (III–V).",Е. березов -- E. betulae,,"The body is elongated oval, with longitudinal dark stripes on the head and thorax, especially sharply visible on the pronotal disc, with a light stripe along the middle of the abdomen. Antennae are thicker and shorter, with protruding hairs of different lengths; the length of many hairs is greater than the thickness of antennal segments (III–V).",Parent bug -- Elasmucha betulae,"The body is elongated, with longitudinal dark stripes on the head and chest, especially sharply noticeable on the disk of the anterior patch, with a light strip along the middle of the abdomen. The tendrils are thicker and shorter, with protruding hairs of different lengths; The length of many hairs is greater than the thickness of the antennae (III - V).",E. Berezov - E. Betulae
,,Таблиця для визначення підродин родини земляних щитників,,,Table for determining the subfamilies of the family Cydnidae,,Table to determine the subfrace of a family of earth shields,
69,1(2),"Все черевні дихальця дещо віддалені від темних парастернітних плям, розміщених по краю черевця (рис. 33, 1). Принаймні по краю голови і грудей стирчать щетинки.",Підродина циднічни -- Cydninae,33,"All abdominal spiracles are somewhat distant from the dark parasternite spots located along the edge of the abdomen (Fig. 33, 1). At least on the edge of the head and thorax, bristles stick out.", -- Cydninae,"All abdominal breathing is somewhat distant from the dark paraster spots located on the edge of the abdomen (Fig. 33, 1). At least on the edge of the head and chest, the bristles stick out.",The Subnijnichnichnayae - Cydninae
69,2(1),"Всі черевні дихальця розміщені безпосередньо на парастернітних плямах (рис. 33, 2). Тіло зовсім голе.",,33,"All abdominal spiracles are placed directly on the parasternite spots (Fig. 33, 2). The body is completely bare.",,"All abdominal respirations are placed directly on parastery spots (Figs. 33, 2). The body is completely bare.",
69,3(4),"На двох перших тергітах нема поперечних смуг. Відстань між вивідними отворами на другій і третій площадках в два-три рази менша за ширину площадок, а отвори точечні, майже непомітні (рис. 32, 2). Перша випарна площадка помітно довша і ширша за першу.",Підродина сехірими -- Sehirinae,32,"There are no transverse stripes on the first two tergites. The distance between the ostioles on the second and third ESESs is two to three times smaller than the width of the ESESs, and the ostioles are point-like, almost imperceptible (Fig. 32, 2). The first ESES is noticeably longer and wider than the first.", -- Sehirinae,"There are no transverse strips on the first two tergits. The distance between the outlet holes in the second and third platforms is two to three times smaller than the width of the platforms, and the openings are directly invisible (Figs. 32, 2). The first evaporation platform is noticeably longer and wider than the first.",Subburge Sehirima - Sehirinae
69,4(3),"На I і II тергітах розміщено по широкій темній перерваній посередині смужці. Відстань між вивідними творами на другій і третій випарних площадках лише трохи менша за ширину площадок, а отвори на них добре помітні (рис. 32, 3). Перша випарна площадка значно коротша і не ширша за другу.",Підродина коримеленіни -- Corimelaeninae,32,"On I and II tergites there is a wide, dark, interrupted stripe in the middle. The distance between the ostioles on the second and third ESESs is only slightly smaller than the width of the ESESs, and the ostioles on them are clearly visible (Fig. 32, 3). The first ESES is much shorter and not wider than the second.", -- Corimelaeninae,"On I and II tergitis is placed on a wide dark interrupted in the middle of the strip. The distance between output works on the second and third evaporation platforms is only slightly smaller than the width of the platforms, and the holes on them are clearly visible (Figs. 32, 3). The first evaporation platform is much shorter and not wider than the second.",Corimelene's subfamily - Corimelaeninae
,,Таблиця для визначення родів підродини циднін,,,Table for determining the genera of the subfamily Cydninae,,Table to determine the genus of the subfamily cidnin,
73,1(2),"Передні голінки шаблевидні; лапки прикріплені приблизно посередині їх довжини (рис. 34, 1).",Рід стубаропус -- Stibaropus,34,"The front tibias are saber-shaped; the tarsi are attached approximately in the middle of the tibia (Fig. 34, 1).", -- Stibaropus,"The front lobes of the saber; The paws are attached approximately in the middle of their length (Fig. 34, 1).",Genus Stubropus - Stibaropus
73,2(1),"Передні голінки іншої форми, і лапки завжди прикріплені біля їх вершин.",,,"The front tibias are of a different shape, and the tarsi are always attached near the top of the tibia.",,"The front lands of another shape, and the paws are always attached at their peaks.",
73,3(6),"Зовнішні краї голови вкриті шипиками і щетинками (рис. 38, 2, а, б). Темні поперечні смужки на I і II тергітах звичайно ширші за першу випарну площадку. Черевце бліде, сірувате або жовтувате, рідко (I–II стадії) з рожевуватим відтінком.",,38,"The outer edges of the head are covered with spines and bristles (Fig. 38, 2, a, b). Dark transverse stripes on tergites I and II are usually wider than the first ESES. The abdomen is pale, grayish or yellowish, rarely (stages I–II) with a pinkish tint.",,"The outer edges of the head are covered with spines and bristles (Fig. 38, 2, A, B). Dark transverse stripes on I and II tergitis are usually wider than the first evaporation platform. The abdomen is pale, gray or yellowish, rarely (I -III) with a pink tinge.",
73,4(5),Тіло вкрите зверху стирчачими волосками.,Рід бірсинус -- Byrsinus,,The body is covered with protruding hairs., -- Byrsinus,The body is covered with protruding hairs.,Genus Barsinus - Byrsinus
73,5(4),"Верхня поверхня тіла без волосків, з розміщеними лише по його краях щетинками.",Рід етус -- Aethus,,"The upper surface of the body is hairless, with setae located only on its edges.", -- Aethus,"The upper surface of the body without hairs, with only at its edges of the bristles.",Genus Ateus - Aethus
73,6(3),Зовнішні краї голови вкриті тільки щетинками.,,,The outer edges of the head are covered only with bristles.,,The outer edges of the head are covered with bristles only.,
73,7(8),"Щетинки на краях голови і грудей тонкі і довгі, такі ж, як довжина третього членика вусиків. Смужки на I і II тергітах ширші за випарні площадки. Черевце сірувате.",Рід геотомус -- Geotomus,,"The bristles on the edges of the head and thorax are thin and long, the same as the length of the third segment of the antennae. The stripes on tergites I and II are wider than the ESESs. The abdomen is grayish.", -- Geotomus,"The bristles on the edges of the head and chest are thin and long, the same as the length of the third joint of the antennae. Strips on I and II tergites are wider than evaporated platforms. The abdomen is gray.",Geotomus geotomus
73,8(7),"Щетинки на краях голови і грудей товсті, помітно коротші за довжину третього членика вусиків. На I і II тергітах нема темних смужок або вони дуже вузькі. Черевце звичайно й червоне.",Рід циднус -- Cydnus,,"The bristles on the edges of the head and thorax are thick, noticeably shorter than the length of the third segment of the antennae. Dark stripes are absent or very narrow on tergites I and II. The abdomen is usually red.", -- Cydnus,"The bristles on the edges of the head and chest are thick, noticeably shorter than the length of the third joint. There are no dark stripes on I and II tergits or they are very narrow. The abdomen is usually red.",Genus Jump - Cydnus
,,Таблиця для визначення видів роду етус,,,Table for determining the species of the genus Aethus,,Table to determine the species of the genus Ateus,
79,1(2),"Наличинок на вершині з двома короткими шипиками. Волоски на краях голови і грудей коротші і рідше розміщені, не довші за третій член ик вусиків; на краях черевця їх немає зовсім.",Е. чорній -- Ae. nigritus,,"Tylus on the top with two short spines. The hairs on the edges of the head and thorax are shorter and less frequently placed, no longer than the third segment of the antennae; on the edges of the abdomen they are not there at all.", -- Aethus nigritus,"A tip on the top with two short spines. Hairs on the edges of the head and chest are shorter and less often placed, not longer than the third member of the antennae; There are none on the edges of the abdomen.",E. Black - AE. nigritus
79,2(1),"Наличинок на вершині з двома довгими щетинками. Волоски на краях голови, грудей і черевця довші і розміщені густіше, вони в середньому вдвоє довші за третій членик вусиків.",Е. південний -- Ae. flavicornis,,"Tylus on top with two long bristles. The hairs on the edges of the head, thorax and abdomen are longer and denser, they are on average twice as long as the third segment of the antennae.", -- Aethus flavicornis,"The tub on the top with two long bristles. The hairs on the edges of the head, chest and abdomen are longer and are located denser, they are on average twice as long as the third joint of the antennae.",E. South - AE. flavicornis
,,Таблиця для визначення родів підродини сехірин,,,Table for determining the genera of the subfamily Sehirinae,,Table to determine the genera of the subfamily Sechirin,
87,1(2),"Зустрічається на підмаренникових або поблизу них. Тіло сильно опукле, голова і груди одноколірні, чорні або коричневі. Черевце зверху без червоних поперечних смуг, а якщо з рожевуватими смужками (молодші стадії), то вони дуже тонкі і йдуть вздовж міжтергітних меж, а не впоперек тергітів.",Рід легнотус -- Legnotus,,"It is found on or near Galium plants. The body is strongly convex, the head and thorax are the same color, black or brown. Abdomen above without red transverse stripes, and if with pinkish stripes (younger stages), then they are very thin and go along the intertergite borders, and not across the tergites.", -- Legnotus,"It is found on or near or near or near them. The body is strongly convex, the head and chest are monochrome, black or brown. The abdomen on top without red transverse strips, and if with pink stripes (younger stages), they are very thin and go along the inter -tergital boundaries, not across the tergits.",Legnotus - Legnotus
87,2(1),Не зв'язані з підмаренниковими. Тіло дещо сплющене або голова і груди двоколірні.,,,Not related to Galium plants. The body is somewhat flattened or the head and thorax are two-colored.,,Are not related to the submarine. The body is slightly flattened or head and breasts are two -colored.,
87,3(6),"Черевце сіре з поперечними червонуватими смужками (II–V) або все темносіре, без смуг (V). Груди зверху одноколірні, чорні або темнобурі; тіло дещо сплющене.",,,"Abdomen gray with transverse reddish stripes (II–V) or all dark gray without stripes (V). The thorax is single-colored from above, black or dark brown; the body is somewhat flattened.",,"The abdomen is gray with transverse reddish stripes (II -V) or all dark, without stripes (V). Breasts from above monochrome, black or dark brown; The body is somewhat flattened.",
87,4(5),Поперечні червоні смужки роздвоюються на боках черевця (II–V) або зовсім зникають. Паратергітні плями значно менші за половину третьої випарної площадки (III–V). Більші.,Рід сехірус -- Sehirus,,Transverse red stripes bifurcate on the sides of the abdomen (II–V) or disappear altogether. Paratergite spots are much smaller than half of the third ESES (III–V). Bigger., -- Sehirus,The transverse red stripes split on the sides of the abdomen (II -V) or completely disappear. Paratergic spots are much smaller than half of the third evaporation (III - V). Larger.,Genus Sechirus - Sehirus
87,5(4),"Поперечні червоні смужки з'єднують протилежно розміщені паратергітні плями, не роздвоюються на боках черевця і завжди чітко виражені. Паратергітні плями більші, майже рівні половині третьої випарної площадки (III–V). Менші.",Рід охетостетус -- Ochetostethus,,"Transverse red stripes connect oppositely placed paratergite spots, do not bifurcate on the sides of the abdomen and are always clearly defined. Paratergite spots are larger, almost equal to half of the third ESES (III–V). Smaller.", -- Ochetostethus,"The transverse red stripes connect the oppositely placed paratregit spots, do not split on the sides of the abdomen and are always clearly expressed. Paratergic spots are larger, almost equal to half of the third evaporation platform (III - V). Smaller.",Ochetoteus genus - ochetostethus
87,6(3),"Черевце іншого кольору, завжди без поперечних червоних смуг (II–V). Груди нерідко двоколірні (IV–V). Тіло опукле.",Рід кантофорус -- Canthophorus,,"Abdomen of a different color, always without transverse red stripes (II–V). Thoraces are often two-colored (IV–V). The body is convex.", -- Canthophorus,"The abdomen of a different color, always without transverse red stripes (II - V). Breasts are often two -colored (IV - V). The body is convex.",Genus cantophous - Canthophorus
,,Таблиця для визначення видів роду легнотус,,,Table for determining the species of the genus Legnotus,,Table to identify species of the genus Legonotus,
89,1(2),"Голова і груди блідокоричневі (I–III) або коричневі (III–V), рідше майже чорні (V). Тіло зверху зовсім голе.",Л. облямований -- L. limbosus,,"The head and thorax are pale brown (I–III) or brown (III–V), rarely almost black (V). The body is completely naked from above.",Bordered shieldbug -- Legnotus limbosus,"The head and chest are pale brown (I -III) or brown (III - V), rarely almost black (V). The body is completely naked on top.",L. Fragrated - L. limbosus
89,2(1),Голова і груди коричневі (I–II) або чорні (III–V). Груди зверху вкриті дуже короткими (вигляд збоку і на світло) стирчачими волосками.,Л. темний -- L. picipes,,The head and thorax are brown (I–II) or black (III–V). The thorax is covered from above with very short (side view and in the light) protruding hairs.,Heath shieldbug -- Legnotus picipes,Head and chest brown (I -II) or black (III - V). The breasts are covered with very short (side appearance and light) with sticky hairs.,L. Dark - L. picipes
,,Таблиця для визначення видів роду кантофорус,,,Table for determining the species of the genus Canthophorus,,Table to determine species of the genus cantophous,
98,1(4),"Черевце жовтувате, зеленувате або білувате (II–V); груди зверху двоколірні (IV–V).",,,"The abdomen is yellowish, greenish or whitish (II–V); the thorax is two-colored from above (IV–V).",,"The abdomen is yellowish, greenish or whitish (II - V); Breasts are two -color (IV - V).",
98,2(3),Черевце жовтувате (I–V); бокові краї передньоспинки білі (IV–V); ширина першої випарної площадки значно менша за відстань від її бокового краю до кряю черевця. (III–V).,К. двоколірний -- C. bicolor,,Abdomen yellowish (I–V); the lateral edges of the pronotum are white (IV–V); the width of the first ESES is much smaller than the distance from its lateral edge to the edge of the abdomen. (III–V).,Pied shield bug -- Canthophorus bicolor,Yellowish abdomen (I - V); the side edges of the anterior ebbs white (IV - V); The width of the first evaporation platform is much smaller than the distance from its lateral edge to the abdomen. (III - V).,K. Two -color - C. Bicolor
98,3(2),Черевце зеленувате (II–V); бокові краї передньоспинки чорні (II–V); ширина першої випарної площадки не більша або трохи більша за відстань від її бокового краю до краю черевця (III–V).,К. шестиплямний -- C. sexmaculatus,,The abdomen is greenish (II–V); lateral edges of pronotum black (II–V); the width of the first ESES is not greater or slightly greater than the distance from its lateral edge to the edge of the abdomen (III–V).,Rambur's pied shieldbug -- Canthophorus sexmaculatus,Belly green (II - V); the side edges of the front ends of black (II - V); The width of the first evaporation platform is not greater or slightly larger than the distance from its lateral edge to the edge of the abdomen (III - V).,K. Sixtilm - C. Sexmaculatus
98,4(1),"Черевце червоне або вохристе (II–V), груди двоколірні (I–V).",,,"The abdomen is red or ocher (II–V), the thorax is two-colored (I–V).",,"The abdomen is red or ochrist (II - V), two -color breasts (I - V).",
98,5(6),"Голова і груди синюваті, черевце червоне.",К. одноколірний -- C. dubius,,"The head and thorax are bluish, the abdomen is red.", -- Canthophorus dubius,"The head and chest are blue, the abdomen is red.",K. One -color - C. dubius
98,6(5),"Голова і груди чорні, черевце вохристе.",К. двокрапковий -- C. biguttatus,,"The head and thorax are black, the abdomen is ocher.",Cow-wheat shieldbug -- Canthophorus biguttatus,"The head and chest are black, the abdomen is wicked.",K. A colon - C. Biguttatus
,,Таблиця для визначення родів родини щитників-черепашок,,,Table for determining the genera of the family Scutelleridae,,Table to determine the genera,
111,1(4),Черевні дихальця (крім дихалець II сегмента) розміщені безпосередньо на парастернітних темних плямах. Тіло вкрите більш-менш довгими волосками (Odontoscelini).,,,Abdominal spiracles (except spiracles of segment II) are placed directly on parasternite dark spots. The body is covered with more or less long hairs (Odontoscelini).,,The abdominal respiratory (except the respiratory II segment) are placed directly on parastric dark spots. The body is covered with more or less long hairs.,
111,2(3),"Волоски на тілі в кілька раз довші за діаметр ока. Голова перед очима без гострокутних виступів, спереду тупокутно округла.",Рід ірохротус -- Irochrotus,,The hairs on the body are several times longer than the diameter of the eye. The head is obtusely rounded in front of the eyes without sharp-angled protrusions., -- Irochrotus,"The hair on the body is several times longer than the diameter of the eye. The head in front of the eyes without acute projections, in the front is silently rounded.",Genus Irochrotus - Irochrotus
111,3(2),"Волоски на тілі не довші або трохи довші за діаметр ока. Голова перед очима з різко вираженими виступами, спереду поперечно овальна (рис. 53, 4).",Рід одонтосцеліс -- Odontoscelis,53,"The hairs on the body are no longer or slightly longer than the diameter of the eye. The head in front of the eyes with sharply defined protrusions, transversely oval from the front (Fig. 53, 4).", -- Odontoscelis,"The hair on the body is no longer or slightly longer than the diameter of the eye. The head in front of the eyes with sharply pronounced projections, the front transversely oval (Figs. 53, 4).",Odontoscelis Odontoscelis
111,4(1),Всі черевні дихальця розміщені біля парастернітних плям. Тіло голе або в дуже коротких волосках.,,,All abdominal spiracles are located near the parasternite spots. The body is bare or covered with very short hairs.,,All abdominal breathing are placed near parastery spots. Body naked or in very short hairs.,
111,5(8),"Тіло в дуже коротких або сплутаних притиснутих волосках, добре помітних, якщо дивитись збоку і на світло (Odontotarsini).",,,"Body with very short or tangled appressed hairs, well visible when viewed from the side and in the light (Odontotarsini).",,"The body in very short or confused pressed hairs, well visible if you look at the side and light (Odontotarsini).",
